,state,year,District,Murder
246,KARNATAKA,2005,BANGALORE COMMR.,242
247,MEGHALAYA,2005,JAINTIA HILLS,43
248,NAGALAND,2005,DIMAPUR,23
249,ODISHA,2005,SUNDARGARH,82
250,RAJASTHAN,2005,BHARATPUR,91
251,SIKKIM,2005,EAST,5
252,UTTAR PRADESH,2005,BAREILLY,224
253,A & N ISLANDS,2005,TOTAL,14
254,A & N ISLANDS,2005,ANDAMAN,14
255,D & N HAVELI,2005,TOTAL,7
256,D & N HAVELI,2005,D and N HAVELI,7
257,DELHI UT,2005,DELHI UT TOTAL,455
258,PUDUCHERRY,2005,TOTAL,19
259,PUDUCHERRY,2005,PONDICHERRY,19
260,HARYANA,2006,GURGAON,93
261,MIZORAM,2006,AIZAWL,7
262,RAJASTHAN,2006,BHARATPUR,75
263,RAJASTHAN,2006,ALWAR,75
264,TRIPURA,2006,WEST,74
265,DAMAN & DIU,2006,TOTAL,6
266,DAMAN & DIU,2006,DAMAN,6
267,ANDHRA PRADESH,2007,CYBERABAD,186
268,JHARKHAND,2007,RANCHI,203
269,KERALA,2007,KOLLAM,43
270,MEGHALAYA,2007,JAINTIA HILLS,43
271,NAGALAND,2007,DIMAPUR,30
272,ODISHA,2007,MAYURBHANJ,98
273,PUNJAB,2007,LUDHIANA,63
274,PUNJAB,2007,JALANDHAR,63
275,RAJASTHAN,2007,ALWAR,89
276,TRIPURA,2007,WEST,65
277,UTTAR PRADESH,2007,MUZAFFARNAGAR,213
278,ANDHRA PRADESH,2008,CYBERABAD,197
279,JAMMU & KASHMIR,2008,JAMMU,31
280,JHARKHAND,2008,RANCHI,209
281,KERALA,2008,THRISSUR,38
282,PUNJAB,2008,LUDHIANA,73
283,UTTARAKHAND,2008,HARIDWAR,74
284,CHANDIGARH,2008,TOTAL,17
285,CHANDIGARH,2008,CHANDIGARH,17
286,PUDUCHERRY,2008,PUDUCHERRY,30
287,PUNJAB,2009,LUDHIANA,68
288,TAMIL NADU,2009,CHENNAI,96
289,WEST BENGAL,2009,24 PARGANAS NORTH,229
290,A & N ISLANDS,2009,TOTAL,15
291,A & N ISLANDS,2009,ANDAMAN,15
292,D & N HAVELI,2009,TOTAL,10
293,D & N HAVELI,2009,D and N HAVELI,10
294,DAMAN & DIU,2009,TOTAL,5
295,DAMAN & DIU,2009,DAMAN,5
296,DELHI UT,2009,DELHI UT TOTAL,552
297,GOA,2010,NORTH GOA,25
298,GUJARAT,2010,SURAT COMMR.,87
299,HIMACHAL PRADESH,2010,KANGRA,27
300,KERALA,2010,TRIVANDRUM RURAL,42
301,KERALA,2010,PALAKKAD,42
302,TAMIL NADU,2010,CHENNAI,103
303,ANDHRA PRADESH,2011,CYBERABAD,213
304,GOA,2011,NORTH GOA,33
305,GUJARAT,2011,SURAT COMMR.,100
306,HARYANA,2011,GURGAON,89
307,KARNATAKA,2011,BANGALORE COMMR.,232
308,TRIPURA,2011,WEST,71
309,UTTAR PRADESH,2011,MEERUT,189
310,UTTARAKHAND,2011,HARIDWAR,56
311,DAMAN & DIU,2011,TOTAL,6
312,DAMAN & DIU,2011,DAMAN,6
313,ANDHRA PRADESH,2012,CYBERABAD,198
314,CHHATTISGARH,2012,BILASPUR,74
315,HIMACHAL PRADESH,2012,KANGRA,24
316,KARNATAKA,2012,BANGALORE COMMR.,266
317,MIZORAM,2012,AIZAWL,12
318,RAJASTHAN,2012,ALWAR,100
319,CHANDIGARH,2012,TOTAL,21
320,CHANDIGARH,2012,CHANDIGARH,21
321,ARUNACHAL PRADESH,2005,LOHIT,14
